respondent_id,year,tool,usage_frequency,uses,ge_week,scripter,proficiency,increase_proficiency,actuarial_credential,age,where_are_you_located,what_type_of_company_do_you_work_for,actuaries_at_my_organization,years_of_experience
202100001,2021,R,Never,FALSE,FALSE,FALSE,Basic,FALSE,FCAS,"(30, 40]",Asia,Broker,"(0, 5]","[5, 10)"
202100001,2021,Excel,Daily,TRUE,TRUE,FALSE,Expert,TRUE,FCAS,"(30, 40]",Asia,Broker,"(0, 5]","[5, 10)"
202100001,2021,Google Sheets,Never,FALSE,FALSE,FALSE,None,FALSE,FCAS,"(30, 40]",Asia,Broker,"(0, 5]","[5, 10)"
202100001,2021,SAS,Monthly,TRUE,FALSE,FALSE,Advanced,FALSE,FCAS,"(30, 40]",Asia,Broker,"(0, 5]","[5, 10)"
202100001,2021,Python,Monthly,TRUE,FALSE,FALSE,Basic,TRUE,FCAS,"(30, 40]",Asia,Broker,"(0, 5]","[5, 10)"
202100001,2021,Tableau,Daily,TRUE,TRUE,FALSE,Intermediate,FALSE,FCAS,"(30, 40]",Asia,Broker,"(0, 5]","[5, 10)"
202100001,2021,MATLAB,Never,FALSE,FALSE,FALSE,Basic,FALSE,FCAS,"(30, 40]",Asia,Broker,"(0, 5]","[5, 10)"
202100001,2021,Power BI,Daily,TRUE,TRUE,FALSE,Intermediate,FALSE,FCAS,"(30, 40]",Asia,Broker,"(0, 5]","[5, 10)"
202100001,2021,SQL,Daily,TRUE,TRUE,FALSE,Advanced,TRUE,FCAS,"(30, 40]",Asia,Broker,"(0, 5]","[5, 10)"
202100002,2021,R,Never,FALSE,FALSE,FALSE,Basic,FALSE,FCAS,"(30, 40]",United States,Insurance,"(10, 25]","[10, 15)"
202100002,2021,Excel,Daily,TRUE,TRUE,FALSE,Expert,FALSE,FCAS,"(30, 40]",United States,Insurance,"(10, 25]","[10, 15)"
202100002,2021,Google Sheets,Never,FALSE,FALSE,FALSE,Basic,FALSE,FCAS,"(30, 40]",United States,Insurance,"(10, 25]","[10, 15)"
202100002,2021,SAS,Never,FALSE,FALSE,FALSE,Intermediate,FALSE,FCAS,"(30, 40]",United States,Insurance,"(10, 25]","[10, 15)"
202100002,2021,Python,Never,FALSE,FALSE,FALSE,None,TRUE,FCAS,"(30, 40]",United States,Insurance,"(10, 25]","[10, 15)"
202100002,2021,Tableau,Monthly,TRUE,FALSE,FALSE,Intermediate,FALSE,FCAS,"(30, 40]",United States,Insurance,"(10, 25]","[10, 15)"
202100002,2021,MATLAB,Never,FALSE,FALSE,FALSE,None,FALSE,FCAS,"(30, 40]",United States,Insurance,"(10, 25]","[10, 15)"
202100002,2021,Power BI,Weekly,TRUE,TRUE,FALSE,Intermediate,TRUE,FCAS,"(30, 40]",United States,Insurance,"(10, 25]","[10, 15)"
202100002,2021,SQL,Weekly,TRUE,TRUE,FALSE,Advanced,FALSE,FCAS,"(30, 40]",United States,Insurance,"(10, 25]","[10, 15)"
202100003,2021,R,Less,TRUE,FALSE,FALSE,None,FALSE,FCAS,"(50, 60]",United States,Consulting,"(0, 5]","[20, Inf)"
202100003,2021,Excel,Daily,TRUE,TRUE,FALSE,Expert,FALSE,FCAS,"(50, 60]",United States,Consulting,"(0, 5]","[20, Inf)"
202100003,2021,Google Sheets,Monthly,TRUE,FALSE,FALSE,Intermediate,FALSE,FCAS,"(50, 60]",United States,Consulting,"(0, 5]","[20, Inf)"
202100003,2021,SAS,Never,FALSE,FALSE,FALSE,None,FALSE,FCAS,"(50, 60]",United States,Consulting,"(0, 5]","[20, Inf)"
202100003,2021,Python,Never,FALSE,FALSE,FALSE,Basic,FALSE,FCAS,"(50, 60]",United States,Consulting,"(0, 5]","[20, Inf)"
202100003,2021,Tableau,Less,TRUE,FALSE,FALSE,Intermediate,FALSE,FCAS,"(50, 60]",United States,Consulting,"(0, 5]","[20, Inf)"
202100003,2021,MATLAB,Never,FALSE,FALSE,FALSE,None,FALSE,FCAS,"(50, 60]",United States,Consulting,"(0, 5]","[20, Inf)"
202100003,2021,Power BI,Less,TRUE,FALSE,FALSE,Intermediate,FALSE,FCAS,"(50, 60]",United States,Consulting,"(0, 5]","[20, Inf)"
202100003,2021,SQL,Weekly,TRUE,TRUE,FALSE,Intermediate,FALSE,FCAS,"(50, 60]",United States,Consulting,"(0, 5]","[20, Inf)"
202100004,2021,R,Never,FALSE,FALSE,FALSE,Basic,FALSE,FCAS,"(30, 40]",United States,Other,"(0, 5]","[5, 10)"
202100004,2021,Excel,Daily,TRUE,TRUE,FALSE,Advanced,TRUE,FCAS,"(30, 40]",United States,Other,"(0, 5]","[5, 10)"
