respondent_id,year,technique,use
202100001,2021,Linear models,TRUE
202100001,2021,Credibility,FALSE
202100001,2021,Premium Adjustment,FALSE
202100001,2021,Excess loss analysis,FALSE
202100001,2021,Bayesian,FALSE
202100001,2021,Bornhuetter-Ferguson,FALSE
202100001,2021,Time series,FALSE
202100001,2021,AI/deep learning,TRUE
202100001,2021,Chain ladder,FALSE
202100001,2021,Tree-based methods,TRUE
202100001,2021,Unsupervised learning,FALSE
202100001,2021,Frequency Severity,FALSE
202100001,2021,Triangle Based,FALSE
202100001,2021,Simulation,FALSE
202100002,2021,Linear models,TRUE
202100002,2021,Credibility,TRUE
202100002,2021,Premium Adjustment,TRUE
202100002,2021,Excess loss analysis,TRUE
202100002,2021,Bayesian,FALSE
202100002,2021,Bornhuetter-Ferguson,TRUE
202100002,2021,Time series,FALSE
202100002,2021,AI/deep learning,FALSE
202100002,2021,Chain ladder,TRUE
202100002,2021,Tree-based methods,FALSE
202100002,2021,Unsupervised learning,FALSE
202100002,2021,Frequency Severity,FALSE
202100002,2021,Triangle Based,FALSE
202100002,2021,Simulation,FALSE
202100003,2021,Linear models,FALSE
202100003,2021,Credibility,FALSE
202100003,2021,Premium Adjustment,FALSE
202100003,2021,Excess loss analysis,FALSE
202100003,2021,Bayesian,FALSE
202100003,2021,Bornhuetter-Ferguson,TRUE
202100003,2021,Time series,FALSE
202100003,2021,AI/deep learning,FALSE
202100003,2021,Chain ladder,TRUE
202100003,2021,Tree-based methods,FALSE
202100003,2021,Unsupervised learning,FALSE
202100003,2021,Frequency Severity,FALSE
202100003,2021,Triangle Based,FALSE
202100003,2021,Simulation,FALSE
202100004,2021,Linear models,FALSE
202100004,2021,Credibility,FALSE
202100004,2021,Premium Adjustment,FALSE
202100004,2021,Excess loss analysis,FALSE
202100004,2021,Bayesian,FALSE
202100004,2021,Bornhuetter-Ferguson,TRUE
202100004,2021,Time series,FALSE
202100004,2021,AI/deep learning,FALSE
202100004,2021,Chain ladder,TRUE
202100004,2021,Tree-based methods,FALSE
202100004,2021,Unsupervised learning,FALSE
202100004,2021,Frequency Severity,FALSE
202100004,2021,Triangle Based,FALSE
202100004,2021,Simulation,FALSE
202100005,2021,Linear models,TRUE
202100005,2021,Credibility,TRUE
202100005,2021,Premium Adjustment,TRUE
202100005,2021,Excess loss analysis,FALSE
202100005,2021,Bayesian,TRUE
202100005,2021,Bornhuetter-Ferguson,FALSE
202100005,2021,Time series,FALSE
202100005,2021,AI/deep learning,FALSE
202100005,2021,Chain ladder,TRUE
202100005,2021,Tree-based methods,TRUE
202100005,2021,Unsupervised learning,FALSE
202100005,2021,Frequency Severity,FALSE
202100005,2021,Triangle Based,FALSE
202100005,2021,Simulation,FALSE
202100006,2021,Linear models,TRUE
202100006,2021,Credibility,TRUE
202100006,2021,Premium Adjustment,TRUE
202100006,2021,Excess loss analysis,TRUE
202100006,2021,Bayesian,FALSE
202100006,2021,Bornhuetter-Ferguson,TRUE
202100006,2021,Time series,TRUE
202100006,2021,AI/deep learning,FALSE
202100006,2021,Chain ladder,TRUE
202100006,2021,Tree-based methods,FALSE
202100006,2021,Unsupervised learning,FALSE
202100006,2021,Frequency Severity,FALSE
202100006,2021,Triangle Based,FALSE
202100006,2021,Simulation,FALSE
202100007,2021,Linear models,TRUE
202100007,2021,Credibility,TRUE
202100007,2021,Premium Adjustment,FALSE
202100007,2021,Excess loss analysis,TRUE
202100007,2021,Bayesian,TRUE
202100007,2021,Bornhuetter-Ferguson,TRUE
202100007,2021,Time series,TRUE
202100007,2021,AI/deep learning,FALSE
202100007,2021,Chain ladder,TRUE
202100007,2021,Tree-based methods,FALSE
202100007,2021,Unsupervised learning,FALSE
202100007,2021,Frequency Severity,FALSE
202100007,2021,Triangle Based,FALSE
202100007,2021,Simulation,FALSE
202100008,2021,Linear models,TRUE
202100008,2021,Credibility,TRUE
202100008,2021,Premium Adjustment,FALSE
202100008,2021,Excess loss analysis,FALSE
202100008,2021,Bayesian,FALSE
202100008,2021,Bornhuetter-Ferguson,TRUE
202100008,2021,Time series,FALSE
202100008,2021,AI/deep learning,FALSE
202100008,2021,Chain ladder,TRUE
202100008,2021,Tree-based methods,FALSE
202100008,2021,Unsupervised learning,FALSE
202100008,2021,Frequency Severity,FALSE
202100008,2021,Triangle Based,FALSE
202100008,2021,Simulation,FALSE
202100009,2021,Linear models,TRUE
202100009,2021,Credibility,TRUE
202100009,2021,Premium Adjustment,TRUE
202100009,2021,Excess loss analysis,FALSE
202100009,2021,Bayesian,FALSE
202100009,2021,Bornhuetter-Ferguson,FALSE
202100009,2021,Time series,FALSE
202100009,2021,AI/deep learning,FALSE
202100009,2021,Chain ladder,FALSE
202100009,2021,Tree-based methods,TRUE
202100009,2021,Unsupervised learning,FALSE
202100009,2021,Frequency Severity,FALSE
202100009,2021,Triangle Based,FALSE
202100009,2021,Simulation,FALSE
202100010,2021,Linear models,FALSE
202100010,2021,Credibility,TRUE
202100010,2021,Premium Adjustment,FALSE
202100010,2021,Excess loss analysis,FALSE
202100010,2021,Bayesian,FALSE
202100010,2021,Bornhuetter-Ferguson,TRUE
202100010,2021,Time series,FALSE
202100010,2021,AI/deep learning,FALSE
202100010,2021,Chain ladder,TRUE
202100010,2021,Tree-based methods,FALSE
202100010,2021,Unsupervised learning,FALSE
202100010,2021,Frequency Severity,FALSE
202100010,2021,Triangle Based,FALSE
202100010,2021,Simulation,FALSE
202100011,2021,Linear models,TRUE
202100011,2021,Credibility,TRUE
202100011,2021,Premium Adjustment,TRUE
202100011,2021,Excess loss analysis,TRUE
202100011,2021,Bayesian,TRUE
202100011,2021,Bornhuetter-Ferguson,FALSE
202100011,2021,Time series,TRUE
202100011,2021,AI/deep learning,FALSE
202100011,2021,Chain ladder,TRUE
202100011,2021,Tree-based methods,FALSE
202100011,2021,Unsupervised learning,TRUE
202100011,2021,Frequency Severity,FALSE
202100011,2021,Triangle Based,FALSE
202100011,2021,Simulation,FALSE
202100012,2021,Linear models,FALSE
202100012,2021,Credibility,FALSE
202100012,2021,Premium Adjustment,FALSE
202100012,2021,Excess loss analysis,TRUE
202100012,2021,Bayesian,FALSE
202100012,2021,Bornhuetter-Ferguson,FALSE
202100012,2021,Time series,FALSE
202100012,2021,AI/deep learning,FALSE
202100012,2021,Chain ladder,TRUE
202100012,2021,Tree-based methods,FALSE
202100012,2021,Unsupervised learning,FALSE
202100012,2021,Frequency Severity,FALSE
202100012,2021,Triangle Based,FALSE
202100012,2021,Simulation,FALSE
202100013,2021,Linear models,FALSE
202100013,2021,Credibility,FALSE
202100013,2021,Premium Adjustment,FALSE
202100013,2021,Excess loss analysis,FALSE
202100013,2021,Bayesian,FALSE
202100013,2021,Bornhuetter-Ferguson,TRUE
202100013,2021,Time series,FALSE
202100013,2021,AI/deep learning,FALSE
202100013,2021,Chain ladder,TRUE
202100013,2021,Tree-based methods,FALSE
202100013,2021,Unsupervised learning,FALSE
202100013,2021,Frequency Severity,FALSE
202100013,2021,Triangle Based,FALSE
202100013,2021,Simulation,FALSE
202100014,2021,Linear models,TRUE
202100014,2021,Credibility,TRUE
202100014,2021,Premium Adjustment,TRUE
202100014,2021,Excess loss analysis,TRUE
202100014,2021,Bayesian,TRUE
202100014,2021,Bornhuetter-Ferguson,TRUE
